model_id,alias,precision,time_s,energy_kwh,co2_kg,tokens_out,ram_GB,vram_alloc_GB,vram_reserved_GB,ppl,bleu,notes,kg_per_kwh
bigscience/bloom-3b,b3b,fp16,40.599836111068726,0.0013086765443810883,0.0006161026695934,96,3.395160675048828,5.60161018371582,6.84375,222.71335926253008,10.090958808375973,"GPU=NVIDIA A100-SXM4-40GB, VRAM=39.6 GB",0.47078300000002915
bigscience/bloom-560m,b560,fp16,63.96788787841797,0.0017334087432427266,0.0008160593683700815,96,2.6735267639160156,1.0495529174804688,1.158203125,315.95607114521044,4.53725810115709,"GPU=NVIDIA A100-SXM4-40GB, VRAM=39.6 GB",0.4707830000000236
